Gear,CorrGear,Date,DOY,Year,Month,Length,TLbin,Sex,Maturity,Weight,Age,Count
1,1,6/27/1946,178,1946,6,17,17,NA,NA,NA,6,1
1,1,7/20/1946,201,1946,7,9.5,9,NA,NA,0.5,0,1
1,1,7/20/1946,201,1946,7,8.4,8,NA,NA,0.38,0,1
1,1,8/16/1946,228,1946,8,19.8,19,NA,NA,NA,4,1
2,2,9/21/1946,264,1946,9,10.5,10,NA,NA,NA,2,1
2,2,5/7/1947,127,1947,5,18.5,18,1,2,NA,4,1
2,2,5/7/1947,127,1947,5,21,21,1,2,NA,5,1
2,2,5/7/1947,127,1947,5,21,21,1,2,NA,5,1
2,2,5/7/1947,127,1947,5,21.5,21,1,2,NA,5,1
2,2,5/7/1947,127,1947,5,20,20,1,2,NA,5,1
2,2,5/7/1947,127,1947,5,23,23,2,2,NA,5,1
2,2,5/7/1947,127,1947,5,19,19,1,2,NA,4,1
2,2,5/7/1947,127,1947,5,26.8,26,1,2,NA,4,1
2,2,5/7/1947,127,1947,5,26,26,1,2,NA,7,1
2,2,5/7/1947,127,1947,5,20,20,1,2,NA,5,1
2,2,5/7/1947,127,1947,5,21,21,2,2,NA,4,1
2,2,5/7/1947,127,1947,5,21,21,1,2,NA,5,1
2,2,5/7/1947,127,1947,5,18.3,18,1,2,NA,4,1
2,2,5/7/1947,127,1947,5,19,19,1,2,NA,4,1
2,2,5/7/1947,127,1947,5,18,18,1,2,NA,4,1
2,2,5/7/1947,127,1947,5,21.5,21,1,2,NA,5,1
2,2,5/7/1947,127,1947,5,20.5,20,1,2,NA,5,1
2,2,5/7/1947,127,1947,5,22,22,1,2,NA,5,1
2,2,5/7/1947,127,1947,5,20.5,20,1,2,NA,5,1
2,2,5/7/1947,127,1947,5,22,22,2,2,NA,5,1
2,2,5/7/1947,127,1947,5,29.5,29,2,2,NA,9,1
2,2,5/7/1947,127,1947,5,22,22,1,2,NA,5,1
2,2,5/7/1947,127,1947,5,22,22,1,2,NA,6,1
2,2,5/7/1947,127,1947,5,18.1,18,1,2,NA,4,1
2,2,5/7/1947,127,1947,5,21.5,21,2,2,NA,5,1
2,2,5/7/1947,127,1947,5,21,21,1,2,NA,5,1
2,2,5/7/1947,127,1947,5,22.5,22,1,2,NA,7,1
2,2,5/7/1947,127,1947,5,24.5,24,1,2,NA,7,1
2,2,5/7/1947,127,1947,5,21.5,21,1,2,NA,5,1
2,2,5/7/1947,127,1947,5,19,19,1,2,NA,4,1
2,2,5/7/1947,127,1947,5,19,19,1,2,NA,4,1
2,2,5/7/1947,127,1947,5,24,24,3,3,NA,5,1
2,2,5/7/1947,127,1947,5,23,23,1,2,NA,5,1
2,2,5/7/1947,127,1947,5,24,24,1,2,NA,6,1
2,2,5/7/1947,127,1947,5,25,25,1,2,NA,7,1
2,2,5/7/1947,127,1947,5,25,25,1,2,NA,7,1
2,2,5/7/1947,127,1947,5,26.5,26,1,2,NA,NA,1
2,2,5/7/1947,127,1947,5,20,20,1,2,NA,5,1
2,2,5/7/1947,127,1947,5,17.2,17,1,2,NA,4,1
2,2,5/7/1947,127,1947,5,24.5,24,1,2,NA,6,1
2,2,5/7/1947,127,1947,5,28,28,2,2,NA,8,1
2,2,5/7/1947,127,1947,5,20,20,1,2,NA,5,1
2,2,5/7/1947,127,1947,5,23,23,1,2,NA,7,1
2,2,5/7/1947,127,1947,5,28.5,28,2,2,NA,NA,1
2,2,5/7/1947,127,1947,5,23,23,1,2,NA,7,1
2,2,5/7/1947,127,1947,5,24.5,24,1,2,NA,7,1
2,2,5/7/1947,127,1947,5,8.3,8,1,2,NA,NA,1
2,2,5/7/1947,127,1947,5,22,22,1,2,NA,6,1
2,2,5/7/1947,127,1947,5,21,21,1,2,NA,5,1
2,2,5/8/1947,128,1947,5,24,24,1,2,NA,6,1
2,2,5/8/1947,128,1947,5,22.5,22,1,2,NA,7,1
2,2,5/8/1947,128,1947,5,18.5,18,1,2,NA,4,1
2,2,5/8/1947,128,1947,5,19,19,1,2,NA,4,1
2,2,5/8/1947,128,1947,5,21,21,2,2,NA,4,1
2,2,5/8/1947,128,1947,5,19,19,1,2,NA,5,1
2,2,5/8/1947,128,1947,5,17.5,17,1,2,NA,4,1
2,2,5/8/1947,128,1947,5,20.1,20,1,2,NA,4,1
2,2,5/8/1947,128,1947,5,21.5,21,2,2,NA,5,1
2,2,5/8/1947,128,1947,5,25,25,1,2,NA,7,1
2,2,5/8/1947,128,1947,5,14,14,1,2,NA,NA,1
2,2,5/8/1947,128,1947,5,25,25,1,2,NA,7,1
2,2,5/8/1947,128,1947,5,29.5,29,2,2,NA,9,1
2,2,5/8/1947,128,1947,5,22,22,1,2,NA,5,1
2,2,5/8/1947,128,1947,5,24.5,24,2,2,NA,5,1
2,2,5/8/1947,128,1947,5,24.5,24,1,2,NA,7,1
2,2,5/8/1947,128,1947,5,23.5,23,2,2,NA,5,1
2,2,5/8/1947,128,1947,5,28,28,2,2,NA,8,1
2,2,5/8/1947,128,1947,5,29,29,2,2,NA,9,1
2,2,5/8/1947,128,1947,5,22.5,22,1,2,NA,5,1
2,2,5/8/1947,128,1947,5,24.5,24,2,2,NA,5,1
2,2,5/8/1947,128,1947,5,24.5,24,1,2,NA,7,1
2,2,5/8/1947,128,1947,5,23.5,23,1,2,NA,6,1
2,2,5/8/1947,128,1947,5,22,22,2,2,NA,5,1
2,2,5/8/1947,128,1947,5,21.5,21,1,2,NA,7,1
2,2,5/8/1947,128,1947,5,28.5,28,2,2,NA,8,1
2,2,5/8/1947,128,1947,5,29.5,29,2,2,NA,10,1
2,2,5/8/1947,128,1947,5,28,28,2,2,NA,8,1
2,2,5/8/1947,128,1947,5,30.5,30,2,2,NA,11,1
2,2,5/8/1947,128,1947,5,22,22,1,2,NA,5,1
2,2,5/8/1947,128,1947,5,24.5,24,1,2,NA,8,1
2,2,5/9/1947,129,1947,5,24,24,2,2,NA,5,1
2,2,5/9/1947,129,1947,5,20.5,20,2,2,NA,4,1
2,2,5/9/1947,129,1947,5,19.5,19,1,2,NA,4,1
2,2,5/9/1947,129,1947,5,21,21,2,2,NA,4,1
2,2,5/9/1947,129,1947,5,19,19,2,2,NA,4,1
2,2,5/9/1947,129,1947,5,20,20,1,2,NA,4,1
2,2,5/9/1947,129,1947,5,25,25,1,2,NA,7,1
2,2,5/9/1947,129,1947,5,25,25,1,2,NA,7,1
2,2,5/9/1947,129,1947,5,20,20,1,2,NA,5,1
2,2,5/9/1947,129,1947,5,20.5,20,1,2,NA,5,1
2,2,5/9/1947,129,1947,5,20.5,20,1,2,NA,5,1
2,2,5/9/1947,129,1947,5,20.5,20,1,2,NA,5,1
2,2,5/9/1947,129,1947,5,20,20,1,2,NA,4,1
2,2,5/9/1947,129,1947,5,22,22,2,2,NA,4,1
