Date,C,Total.unmarked,Unmarked,Marked,M,R,C.M
8/25/1958,53,53,0,0,,,
8/28/1958,59,58,11,0,53,1,3127
8/30/1958,12,12,0,0,100,0,1200
9/1/1958,76,76,7,0,112,0,8512
9/5/1958,46,46,2,0,181,0,8326
9/8/1958,102,98,4,0,225,4,22950
9/15/1958,89,82,3,0,319,7,28391
9/17/1958,94,85,1,0,398,9,37412
9/18/1958,84,79,2,0,482,5,40488
9/19/1958,116,98,2,0,559,18,64844
9/23/1958,135,112,5,0,655,23,88425
9/24/1965,459,459,0,0,,,
9/26/1965,554,529,0,0,459,25,254286
9/27/1965,248,227,0,0,988,21,245024
9/28/1965,340,299,0,0,1215,41,413100
10/6/1965,305,268,0,0,1514,37,461770
10/12/1965,99,77,0,0,1782,22,176418
9/12/1959,209,205,0,0,,,
9/13/1959,411,352,0,0,205,0,84255
9/16/1959,344,318,0,0,557,14,191608
9/18/1959,285,260,0,0,875,11,249375
9/25/1959,194,182,0,0,1135,10,220190
9/28/1959,108,104,0,0,1317,4,142236
10/21/1959,55,52,0,0,1421,3,78155
9/12/1961,19,19,0,0,,,
9/13/1961,31,31,0,0,19,0,589
9/14/1961,29,27,0,0,50,2,1450
9/18/1961,20,16,0,0,77,4,1540
9/21/1961,30,24,0,0,93,6,2790
9/25/1961,44,40,0,0,117,4,5148
9/26/1961,23,18,2,0,157,5,3611
9/29/1961,21,18,0,0,173,3,3633
9/8/1966,651,651,8,0,,,
9/9/1966,919,891,0,0,643,28,590917
9/11/1966,524,493,0,0,1534,31,803816
9/12/1966,449,407,10,0,2027,42,910123
9/23/1966,1509,1348,0,0,2424,161,3657816
10/6/1966,716,589,0,0,3772,127,2700752
9/13/1962,189,189,0,0,,,
9/14/1962,229,229,0,0,189,0,43281
10/2/1962,428,417,0,0,418,11,178904
10/9/1962,432,402,0,0,835,30,360720
10/16/1962,101,94,0,0,1237,7,124937
9/17/1963,165,165,0,0,,,
10/1/1963,507,498,0,0,165,9,83655
10/3/1963,596,574,0,0,663,22,395148
10/8/1963,582,527,0,0,1237,55,719934
10/9/1963,393,337,0,0,1764,56,693252
10/16/1963,765,642,0,0,2101,123,1607265
9/12/1968,47,47,3,0,,,
9/26/1968,102,102,0,0,44,0,4488
9/30/1968,89,84,0,0,146,5,12994
10/1/1968,87,83,0,0,230,4,20010
10/7/1968,395,381,15,0,313,14,123635
10/16/1968,253,238,0,0,679,15,171787
9/8/1964,1675,1675,32,0,,,
9/9/1964,880,847,13,0,1643,33,1445840
9/10/1964,1233,1150,23,0,2477,83,3054141
9/17/1964,1530,1337,32,0,3604,193,5514120
10/2/1964,1697,1429,0,0,4909,268,8330573
9/8/1969,294,294,0,0,,,
9/9/1969,301,297,23,0,294,4,88494
9/10/1969,646,610,0,0,568,36,366928
9/11/1969,557,526,0,0,1178,31,656146
9/30/1969,733,679,0,0,1704,54,1249032
9/22/1970,1472,1472,20,0,,,
9/28/1970,1296,1112,6,0,1452,184,1881792
9/29/1970,1049,797,4,0,2558,252,2683342
10/5/1970,720,465,0,0,3351,255,2412720
9/23/1975,214,214,0,0,,,
9/24/1975,220,195,0,0,214,25,47080
10/2/1975,88,70,0,0,409,18,35992
9/27/1971,213,213,0,0,,,
9/30/1971,143,136,0,0,213,7,30459
10/5/1971,185,164,0,0,349,21,64565
10/7/1976,383,383,0,0,,,
10/11/1976,172,144,1,0,383,28,65876
10/12/1976,232,178,0,0,526,54,122032
9/12/1972,153,149,0,0,,,
9/13/1972,182,168,3,0,149,14,27118
9/27/1972,119,95,0,0,314,24,37366
9/19/1977,810,810,15,0,,,
9/20/1977,1245,1197,30,0,795,48,989775
9/21/1977,993,870,1,0,1962,123,1948266
9/27/1977,780,655,3,0,2831,125,2208180
9/26/1973,811,811,0,0,,,
10/3/1973,724,707,0,0,811,17,587164
10/11/1973,652,608,0,0,1518,44,989736
10/24/1973,489,446,0,0,2126,43,1039614
10/4/1978,347,347,0,0,,,
10/5/1978,309,284,0,0,347,25,107223
10/18/1978,388,347,0,0,631,41,244828
10/7/1974,462,462,0,0,,,
10/8/1974,332,318,0,0,462,14,153384
10/14/1974,661,624,0,0,780,37,515580
10/17/1974,708,641,0,0,1404,67,994032
9/17/1979,219,219,0,0,,,
