Year,Month,Day,Date,WaterTempF.AM,WaterTempC.AM,WaterTempF.PM,WaterTempC.PM,LowAirTempF,HighAirTempF,LowAirTempC,HighAirTempC,Notes
1956,Apr,28,4/28/1956,NA,NA,42,5.56,22,42,-5.6,5.6,
1956,Apr,29,4/29/1956,NA,NA,40,4.44,26,36,-3.3,2.2,
1956,Apr,30,4/30/1956,NA,NA,44,6.67,21,54,-6.1,12.2,
1956,May,1,5/1/1956,NA,NA,50,10,34,62,1.1,16.7,
1956,May,2,5/2/1956,NA,NA,36,2.22,33,53,0.6,11.7,
1956,May,3,5/3/1956,NA,NA,43,6.11,33,52,0.6,11.1,
1956,May,4,5/4/1956,NA,NA,50,10,30,59,-1.1,15,
1956,May,5,5/5/1956,NA,NA,52,11.11,34,66,1.1,18.9,
1956,May,6,5/6/1956,NA,NA,54,12.22,36,56,2.2,13.3,
1956,May,7,5/7/1956,NA,NA,52,11.11,25,61,-3.9,16.1,
1956,May,8,5/8/1956,NA,NA,56,13.33,29,66,-1.7,18.9,
1956,May,9,5/9/1956,NA,NA,54,12.22,41,70,5,21.1,
1956,May,10,5/10/1956,NA,NA,50,10,31,52,-0.6,11.1,
1956,May,11,5/11/1956,NA,NA,58,14.44,44,75,6.7,23.9,
1956,May,12,5/12/1956,NA,NA,58,14.44,47,70,8.3,21.1,
1956,May,13,5/13/1956,NA,NA,53,11.67,47,62,8.3,16.7,
1956,May,14,5/14/1956,NA,NA,59,15,42,67,5.6,19.4,
1956,May,15,5/15/1956,NA,NA,54,12.22,42,58,5.6,14.4,
1956,May,16,5/16/1956,NA,NA,50,10,24,46,-4.4,7.8,
1956,May,17,5/17/1956,NA,NA,51,10.56,34,56,1.1,13.3,
1956,May,18,5/18/1956,NA,NA,55,12.78,34,72,1.1,22.2,
1956,May,19,5/19/1956,NA,NA,54,12.22,33,60,0.6,15.6,
1956,May,20,5/20/1956,NA,NA,60,15.56,39,75,3.9,23.9,
1956,May,21,5/21/1956,NA,NA,62,16.67,38,80,3.3,26.7,
1956,May,22,5/22/1956,NA,NA,63,17.22,51,76,10.6,24.4,
1956,May,23,5/23/1956,NA,NA,62,16.67,29,58,-1.7,14.4,
1956,May,24,5/24/1956,NA,NA,61,16.11,28,68,-2.2,20,
1956,May,25,5/25/1956,NA,NA,62,16.67,41,74,5,23.3,
1956,May,26,5/26/1956,NA,NA,64,17.78,42,78,5.6,25.6,
1956,May,27,5/27/1956,NA,NA,65,18.33,50,74,10,23.3,
1956,May,28,5/28/1956,NA,NA,66,18.89,46,76,7.8,24.4,
1956,May,29,5/29/1956,NA,NA,NA,NA,46,78,7.8,25.6,
1956,May,30,5/30/1956,NA,NA,64,17.78,40,74,4.4,23.3,
1956,May,31,5/31/1956,NA,NA,NA,NA,47,48,8.3,8.9,
1956,Jun,1,6/1/1956,NA,NA,62,16.67,38,63,3.3,17.2,
1956,Jun,2,6/2/1956,NA,NA,64,17.78,37,78,2.8,25.6,
1956,Jun,3,6/3/1956,NA,NA,63,17.22,42,74,5.6,23.3,
1956,Jun,4,6/4/1956,NA,NA,70,21.11,41,74,5,23.3,
1956,Jun,5,6/5/1956,NA,NA,72,22.22,47,78,8.3,25.6,
1956,Jun,6,6/6/1956,NA,NA,73,22.78,51,80,10.6,26.7,
1956,Jun,7,6/7/1956,NA,NA,71,21.67,66,76,18.9,24.4,
1956,Jun,8,6/8/1956,NA,NA,74,23.33,52,80,11.1,26.7,
1956,Jun,9,6/9/1956,NA,NA,68,20,60,78,15.6,25.6,
1956,Jun,10,6/10/1956,NA,NA,76,24.44,58,88,14.4,31.1,
1956,Jun,11,6/11/1956,NA,NA,78,25.56,44,92,6.7,33.3,
1956,Jun,12,6/12/1956,NA,NA,78,25.56,66,88,18.9,31.1,
1956,Jun,13,6/13/1956,NA,NA,80,26.67,64,89,17.8,31.7,
1956,Jun,14,6/14/1956,NA,NA,74,23.33,60,76,15.6,24.4,
1956,Jun,15,6/15/1956,NA,NA,72,22.22,62,94,16.7,34.4,
1956,Jun,16,6/16/1956,NA,NA,74,23.33,58,72,14.4,22.2,
1956,Jun,17,6/17/1956,NA,NA,72,22.22,58,70,14.4,21.1,
1956,Jun,18,6/18/1956,NA,NA,70,21.11,59,72,15,22.2,
1956,Jun,19,6/19/1956,NA,NA,69,20.56,54,67,12.2,19.4,
1956,Jun,20,6/20/1956,NA,NA,73,22.78,54,74,12.2,23.3,
1956,Jun,21,6/21/1956,NA,NA,72,22.22,54,76,12.2,24.4,
1956,Jun,22,6/22/1956,NA,NA,76,24.44,43,78,6.1,25.6,
1956,Jun,23,6/23/1956,NA,NA,78,25.56,60,79,15.6,26.1,
1956,Jun,24,6/24/1956,NA,NA,70,21.11,58,60,14.4,15.6,
1956,Jun,25,6/25/1956,NA,NA,71,21.67,42,68,5.6,20,
1956,Jun,26,6/26/1956,NA,NA,67,19.44,55,66,12.8,18.9,
1956,Jun,27,6/27/1956,NA,NA,62,16.67,52,56,11.1,13.3,
1956,Jun,28,6/28/1956,NA,NA,68,20,43,66,6.1,18.9,
1956,Jun,29,6/29/1956,NA,NA,70,21.11,54,85,12.2,29.4,
1956,Jun,30,6/30/1956,NA,NA,72,22.22,60,72,15.6,22.2,
1956,Jul,1,7/1/1956,NA,NA,72,22.22,60,70,15.6,21.1,
1956,Jul,2,7/2/1956,NA,NA,74,23.33,58,72,14.4,22.2,
1956,Jul,3,7/3/1956,NA,NA,74,23.33,49,68,9.4,20,
1956,Jul,4,7/4/1956,NA,NA,74,23.33,48,69,8.9,20.6,
1956,Jul,5,7/5/1956,NA,NA,75,23.89,48,76,8.9,24.4,
1956,Jul,6,7/6/1956,NA,NA,72,22.22,56,68,13.3,20,
1956,Jul,7,7/7/1956,NA,NA,69,20.56,50,57,10,13.9,
1956,Jul,8,7/8/1956,NA,NA,66,18.89,56,60,13.3,15.6,
1956,Jul,9,7/9/1956,NA,NA,NA,NA,48,66,8.9,18.9,
1956,Jul,10,7/10/1956,NA,NA,71,21.67,48,73,8.9,22.8,
1956,Jul,11,7/11/1956,NA,NA,73,22.78,60,78,15.6,25.6,
1956,Jul,12,7/12/1956,NA,NA,72,22.22,55,68,12.8,20,
1956,Jul,13,7/13/1956,NA,NA,68,20,56,62,13.3,16.7,
1956,Jul,14,7/14/1956,NA,NA,72,22.22,52,76,11.1,24.4,
