Year,Month,Day,Date,WaterTempF.AM,WaterTempC.AM,WaterTempF.PM,WaterTempC.PM,LowAirTempF,HighAirTempF,LowAirTempC,HighAirTempC,Notes,Photoperiod,DOY,iceyear,MeanWaterTemp,MeanAirTemp,temp.iced,AboveFreezing,threeweektemp,threeweekwarm,fromThaw,cumAboveFreezing,day1temp,PredWaterTemp
1956,Apr,28,4/28/1956,NA,NA,42,5.56,22,42,-5.6,5.6,NA,14.20414175,119,1956,5.56,0,Open,0,0,0,0,0,NA,5.56
1956,Apr,29,4/29/1956,NA,NA,40,4.44,26,36,-3.3,2.2,NA,14.25241272,120,1956,4.44,-0.55,Open,0,-0.55,0,0,0,NA,4.44
1956,Apr,30,4/30/1956,NA,NA,44,6.67,21,54,-6.1,12.2,NA,14.30029636,121,1956,6.67,3.05,Open,3.05,2.5,3.05,0,3.05,NA,6.67
1956,May,1,5/1/1956,NA,NA,50,10,34,62,1.1,16.7,NA,14.34777637,122,1956,10,8.9,Open,8.9,11.4,11.95,0,11.95,NA,10
1956,May,2,5/2/1956,NA,NA,36,2.22,33,53,0.6,11.7,NA,14.39483598,123,1956,2.22,6.15,Open,6.15,17.55,18.1,0,18.1,NA,2.22
1956,May,3,5/3/1956,NA,NA,43,6.11,33,52,0.6,11.1,NA,14.441458,124,1956,6.11,5.85,Open,5.85,23.4,23.95,0,23.95,NA,6.11
1956,May,4,5/4/1956,NA,NA,50,10,30,59,-1.1,15,NA,14.48762479,125,1956,10,6.95,Open,6.95,30.35,30.9,0,30.9,NA,10
1956,May,5,5/5/1956,NA,NA,52,11.11,34,66,1.1,18.9,NA,14.53331827,126,1956,11.11,10,Open,10,40.35,40.9,0,40.9,NA,11.11
1956,May,6,5/6/1956,NA,NA,54,12.22,36,56,2.2,13.3,NA,14.57851994,127,1956,12.22,7.75,Open,7.75,48.1,48.65,0,48.65,NA,12.22
1956,May,7,5/7/1956,NA,NA,52,11.11,25,61,-3.9,16.1,NA,14.62321087,128,1956,11.11,6.1,Open,6.1,54.2,54.75,0,54.75,NA,11.11
1956,May,8,5/8/1956,NA,NA,56,13.33,29,66,-1.7,18.9,NA,14.66737172,129,1956,13.33,8.6,Open,8.6,62.8,63.35,0,63.35,NA,13.33
1956,May,9,5/9/1956,NA,NA,54,12.22,41,70,5,21.1,NA,14.71098276,130,1956,12.22,13.05,Open,13.05,75.85,76.4,0,76.4,NA,12.22
1956,May,10,5/10/1956,NA,NA,50,10,31,52,-0.6,11.1,NA,14.75402385,131,1956,10,5.25,Open,5.25,81.1,81.65,0,81.65,NA,10
1956,May,11,5/11/1956,NA,NA,58,14.44,44,75,6.7,23.9,NA,14.79647451,132,1956,14.44,15.3,Open,15.3,96.4,96.95,0,96.95,NA,14.44
1956,May,12,5/12/1956,NA,NA,58,14.44,47,70,8.3,21.1,NA,14.83831389,133,1956,14.44,14.7,Open,14.7,111.1,111.65,0,111.65,NA,14.44
1956,May,13,5/13/1956,NA,NA,53,11.67,47,62,8.3,16.7,NA,14.87952081,134,1956,11.67,12.5,Open,12.5,123.6,124.15,0,124.15,NA,11.67
1956,May,14,5/14/1956,NA,NA,59,15,42,67,5.6,19.4,NA,14.92007377,135,1956,15,12.5,Open,12.5,136.1,136.65,0,136.65,NA,15
1956,May,15,5/15/1956,NA,NA,54,12.22,42,58,5.6,14.4,NA,14.959951,136,1956,12.22,10,Open,10,146.1,146.65,0,146.65,NA,12.22
1956,May,16,5/16/1956,NA,NA,50,10,24,46,-4.4,7.8,NA,14.99913047,137,1956,10,1.7,Open,1.7,147.8,148.35,0,148.35,NA,10
1956,May,17,5/17/1956,NA,NA,51,10.56,34,56,1.1,13.3,NA,15.03758991,138,1956,10.56,7.2,Open,7.2,155,155.55,0,155.55,NA,10.56
1956,May,18,5/18/1956,NA,NA,55,12.78,34,72,1.1,22.2,NA,15.07530685,139,1956,12.78,11.65,Open,11.65,166.65,167.2,0,167.2,NA,12.78
1956,May,19,5/19/1956,NA,NA,54,12.22,33,60,0.6,15.6,NA,15.11225867,140,1956,12.22,8.1,Open,8.1,174.75,175.3,0,175.3,NA,12.22
1956,May,20,5/20/1956,NA,NA,60,15.56,39,75,3.9,23.9,NA,15.14842259,141,1956,15.56,13.9,Open,13.9,189.2,189.2,0,189.2,NA,15.56
1956,May,21,5/21/1956,NA,NA,62,16.67,38,80,3.3,26.7,NA,15.18377577,142,1956,16.67,15,Open,15,201.15,201.15,0,204.2,NA,16.67
1956,May,22,5/22/1956,NA,NA,63,17.22,51,76,10.6,24.4,NA,15.21829531,143,1956,17.22,17.5,Open,17.5,209.75,209.75,0,221.7,NA,17.22
1956,May,23,5/23/1956,NA,NA,62,16.67,29,58,-1.7,14.4,NA,15.25195829,144,1956,16.67,6.35,Open,6.35,209.95,209.95,0,228.05,NA,16.67
1956,May,24,5/24/1956,NA,NA,61,16.11,28,68,-2.2,20,NA,15.28474183,145,1956,16.11,8.9,Open,8.9,213,213,0,236.95,NA,16.11
1956,May,25,5/25/1956,NA,NA,62,16.67,41,74,5,23.3,NA,15.31662313,146,1956,16.67,14.15,Open,14.15,220.2,220.2,0,251.1,NA,16.67
1956,May,26,5/26/1956,NA,NA,64,17.78,42,78,5.6,25.6,NA,15.34757955,147,1956,17.78,15.6,Open,15.6,225.8,225.8,0,266.7,NA,17.78
1956,May,27,5/27/1956,NA,NA,65,18.33,50,74,10,23.3,NA,15.37758858,148,1956,18.33,16.65,Open,16.65,234.7,234.7,0,283.35,NA,18.33
1956,May,28,5/28/1956,NA,NA,66,18.89,46,76,7.8,24.4,NA,15.40662798,149,1956,18.89,16.1,Open,16.1,244.7,244.7,0,299.45,NA,18.89
1956,May,29,5/29/1956,NA,NA,65,18.335,46,78,7.8,25.6,NA,15.43467578,150,1956,18.335,16.7,Open,16.7,252.8,252.8,0,316.15,NA,18.335
1956,May,30,5/30/1956,NA,NA,64,17.78,40,74,4.4,23.3,NA,15.46171036,151,1956,17.78,13.85,Open,13.85,253.6,253.6,0,330,NA,17.78
1956,May,31,5/31/1956,NA,NA,63,17.225,47,48,8.3,8.9,NA,15.48771049,152,1956,17.225,8.6,Open,8.6,256.95,256.95,0,338.6,NA,17.225
1956,Jun,1,6/1/1956,NA,NA,62,16.67,38,63,3.3,17.2,NA,15.51265539,153,1956,16.67,10.25,Open,10.25,251.9,251.9,0,348.85,NA,16.67
1956,Jun,2,6/2/1956,NA,NA,64,17.78,37,78,2.8,25.6,NA,15.53652478,154,1956,17.78,14.2,Open,14.2,251.4,251.4,0,363.05,NA,17.78
1956,Jun,3,6/3/1956,NA,NA,63,17.22,42,74,5.6,23.3,NA,15.55929896,155,1956,17.22,14.45,Open,14.45,253.35,253.35,0,377.5,NA,17.22
1956,Jun,4,6/4/1956,NA,NA,70,21.11,41,74,5,23.3,NA,15.58095885,156,1956,21.11,14.15,Open,14.15,255,255,0,391.65,NA,21.11
1956,Jun,5,6/5/1956,NA,NA,72,22.22,47,78,8.3,25.6,NA,15.60148603,157,1956,22.22,16.95,Open,16.95,261.95,261.95,0,408.6,NA,22.22
1956,Jun,6,6/6/1956,NA,NA,73,22.78,51,80,10.6,26.7,NA,15.62086282,158,1956,22.78,18.65,Open,18.65,278.9,278.9,0,427.25,NA,22.78
1956,Jun,7,6/7/1956,NA,NA,71,21.67,66,76,18.9,24.4,NA,15.63907235,159,1956,21.67,21.65,Open,21.65,293.35,293.35,0,448.9,NA,21.67
1956,Jun,8,6/8/1956,NA,NA,74,23.33,52,80,11.1,26.7,NA,15.65609855,160,1956,23.33,18.9,Open,18.9,300.6,300.6,0,467.8,NA,23.33
1956,Jun,9,6/9/1956,NA,NA,68,20,60,78,15.6,25.6,NA,15.67192628,161,1956,20,20.6,Open,20.6,313.1,313.1,0,488.4,NA,20
1956,Jun,10,6/10/1956,NA,NA,76,24.44,58,88,14.4,31.1,NA,15.68654132,162,1956,24.44,22.75,Open,22.75,321.95,321.95,0,511.15,NA,24.44
1956,Jun,11,6/11/1956,NA,NA,78,25.56,44,92,6.7,33.3,NA,15.69993044,163,1956,25.56,20,Open,20,326.95,326.95,0,531.15,NA,25.56
1956,Jun,12,6/12/1956,NA,NA,78,25.56,66,88,18.9,31.1,NA,15.71208145,164,1956,25.56,25,Open,25,334.45,334.45,0,556.15,NA,25.56
1956,Jun,13,6/13/1956,NA,NA,80,26.67,64,89,17.8,31.7,NA,15.72298324,165,1956,26.67,24.75,Open,24.75,352.85,352.85,0,580.9,NA,26.67
1956,Jun,14,6/14/1956,NA,NA,74,23.33,60,76,15.6,24.4,NA,15.73262581,166,1956,23.33,20,Open,20,363.95,363.95,0,600.9,NA,23.33
1956,Jun,15,6/15/1956,NA,NA,72,22.22,62,94,16.7,34.4,NA,15.74100029,167,1956,22.22,25.55,Open,25.55,375.35,375.35,0,626.45,NA,22.22
1956,Jun,16,6/16/1956,NA,NA,74,23.33,58,72,14.4,22.2,NA,15.74809903,168,1956,23.33,18.3,Open,18.3,378.05,378.05,0,644.75,NA,23.33
1956,Jun,17,6/17/1956,NA,NA,72,22.22,58,70,14.4,21.1,NA,15.75391555,169,1956,22.22,17.75,Open,17.75,379.15,379.15,0,662.5,NA,22.22
1956,Jun,18,6/18/1956,NA,NA,70,21.11,59,72,15,22.2,NA,15.75844463,170,1956,21.11,18.6,Open,18.6,381.65,381.65,0,681.1,NA,21.11
1956,Jun,19,6/19/1956,NA,NA,69,20.56,54,67,12.2,19.4,NA,15.76168229,171,1956,20.56,15.8,Open,15.8,380.75,380.75,0,696.9,NA,20.56
1956,Jun,20,6/20/1956,NA,NA,73,22.78,54,74,12.2,23.3,NA,15.7636258,172,1956,22.78,17.75,Open,17.75,384.65,384.65,0,714.65,NA,22.78
1956,Jun,21,6/21/1956,NA,NA,72,22.22,54,76,12.2,24.4,NA,15.76427374,173,1956,22.22,18.3,Open,18.3,394.35,394.35,0,732.95,NA,22.22
1956,Jun,22,6/22/1956,NA,NA,76,24.44,43,78,6.1,25.6,NA,15.76362592,174,1956,24.44,15.85,Open,15.85,399.95,399.95,0,748.8,NA,24.44
1956,Jun,23,6/23/1956,NA,NA,78,25.56,60,79,15.6,26.1,NA,15.76168349,175,1956,25.56,20.85,Open,20.85,406.6,406.6,0,769.65,NA,25.56
1956,Jun,24,6/24/1956,NA,NA,70,21.11,58,60,14.4,15.6,NA,15.75844882,176,1956,21.11,15,Open,15,407.15,407.15,0,784.65,NA,21.11
1956,Jun,25,6/25/1956,NA,NA,71,21.67,42,68,5.6,20,NA,15.75392559,177,1956,21.67,12.8,Open,12.8,405.8,405.8,0,797.45,NA,21.67
1956,Jun,26,6/26/1956,NA,NA,67,19.44,55,66,12.8,18.9,NA,15.74811872,178,1956,19.44,15.85,Open,15.85,404.7,404.7,0,813.3,NA,19.44
1956,Jun,27,6/27/1956,NA,NA,62,16.67,52,56,11.1,13.3,NA,15.74103435,179,1956,16.67,12.2,Open,12.2,398.25,398.25,0,825.5,NA,16.67
1956,Jun,28,6/28/1956,NA,NA,68,20,43,66,6.1,18.9,NA,15.73267985,180,1956,20,12.5,Open,12.5,389.1,389.1,0,838,NA,20
1956,Jun,29,6/29/1956,NA,NA,70,21.11,54,85,12.2,29.4,NA,15.72306379,181,1956,21.11,20.8,Open,20.8,391,391,0,858.8,NA,21.11
1956,Jun,30,6/30/1956,NA,NA,72,22.22,60,72,15.6,22.2,NA,15.71219587,182,1956,22.22,18.9,Open,18.9,389.3,389.3,0,877.7,NA,22.22
1956,Jul,1,7/1/1956,NA,NA,72,22.22,60,70,15.6,21.1,NA,15.70008693,183,1957,22.22,18.35,Open,18.35,18.35,18.35,0,18.35,5,22.22
1956,Jul,2,7/2/1956,NA,NA,74,23.33,58,72,14.4,22.2,NA,15.68674889,184,1957,23.33,18.3,Open,18.3,36.65,36.65,0,36.65,5,23.33
1956,Jul,3,7/3/1956,NA,NA,74,23.33,49,68,9.4,20,NA,15.67219471,185,1957,23.33,14.7,Open,14.7,51.35,51.35,0,51.35,5,23.33
1956,Jul,4,7/4/1956,NA,NA,74,23.33,48,69,8.9,20.6,NA,15.65643835,186,1957,23.33,14.75,Open,14.75,66.1,66.1,0,66.1,5,23.33
1956,Jul,5,7/5/1956,NA,NA,75,23.89,48,76,8.9,24.4,NA,15.63949474,187,1957,23.89,16.65,Open,16.65,82.75,82.75,0,82.75,5,23.89
1956,Jul,6,7/6/1956,NA,NA,72,22.22,56,68,13.3,20,NA,15.62137969,188,1957,22.22,16.65,Open,16.65,99.4,99.4,0,99.4,5,22.22
1956,Jul,7,7/7/1956,NA,NA,69,20.56,50,57,10,13.9,NA,15.60210987,189,1957,20.56,11.95,Open,11.95,111.35,111.35,0,111.35,5,20.56
