year	sampledate	month	daynum	avg_air_temp	avg_wind_speed_1m	WaterTemp	IceYear
1999	12/15/1999	12	349	-1.989	2.342	2.652090909	2000
1999	12/16/1999	12	350	-13.46	1.936	2.351545455	2000
1999	12/17/1999	12	351	-13.47	1.253	2.018727273	2000
1999	12/18/1999	12	352	-9.96	2.376	1.980363636	2000
1999	12/19/1999	12	353	-5.483	4.193	2.148090909	2000
1999	12/20/1999	12	354	-15.23	2.907	2.246545455	2000
1999	12/21/1999	12	355	-21.24	1.147	2.162	2000
1999	12/22/1999	12	356	-21.05	0.896	2.144454545	2000
1999	12/23/1999	12	357	-19.12	0.821	2.146272727	2000
1999	12/24/1999	12	358	-12.95	1.261	2.199090909	2000
1999	12/25/1999	12	359	-4.961	3.031	2.276	2000
1999	12/26/1999	12	360	-8.35	4.272	2.278636364	2000
1999	12/27/1999	12	361	-11.92	3.454	2.278181818	2000
1999	12/28/1999	12	362	-7.62	2.62	2.286272727	2000
1999	12/29/1999	12	363	-0.713	2.939	2.325	2000
1999	12/30/1999	12	364	-6.095	1.751	2.32	2000
1999	12/31/1999	12	365	-3.148	2.722	2.318909091	2000
2000	1/1/2000	1	1	-4.752	1.462	2.304090909	2000
2000	1/2/2000	1	2	-4.441	3.442	2.332545455	2000
2000	1/3/2000	1	3	-5.043	3.071	2.338454545	2000
2000	1/4/2000	1	4	-10.68	3.557	2.332636364	2000
2000	1/5/2000	1	5	-13.86	3.025	2.341727273	2000
2000	1/6/2000	1	6	-6.958	2.804	2.358727273	2000
2000	1/7/2000	1	7	-13.34	2.228	2.356181818	2000
2000	1/8/2000	1	8	-6.124	1.353	2.365181818	2000
2000	1/9/2000	1	9	-6.205	1.947	2.365909091	2000
2000	1/10/2000	1	10	-0.251	1.505	2.369363636	2000
2000	1/11/2000	1	11	-9.57	2.374	2.359545455	2000
2000	1/12/2000	1	12	-15.47	1.339	2.356363636	2000
2000	1/13/2000	1	13	-11.06	1.032	2.361181818	2000
2000	1/14/2000	1	14	-12.2	2.099	2.360363636	2000
2000	1/15/2000	1	15	-4.081	2.326	2.366272727	2000
2000	1/16/2000	1	16	-13.89	3.136	2.364090909	2000
2000	1/17/2000	1	17	-10.78	3.789	2.363636364	2000
2000	1/18/2000	1	18	-9.46	2.191	2.367545455	2000
2000	1/19/2000	1	19	-13.93	1.101	2.364090909	2000
2000	1/20/2000	1	20	-19.3	1.26	2.366545455	2000
2000	1/21/2000	1	21	-21.82	0.654	2.363545455	2000
2000	1/22/2000	1	22	-14	2.464	2.366454545	2000
2000	1/23/2000	1	23	-17.33	2.262	2.368727273	2000
2000	1/24/2000	1	24	-15.3	1.355	2.371454545	2000
2000	1/25/2000	1	25	-12.47	3.177	2.367545455	2000
2000	1/26/2000	1	26	-13.84	1.889	2.348181818	2000
2000	1/27/2000	1	27	-17.38	0.321	2.316272727	2000
2000	1/28/2000	1	28	-15.9	0.495	2.301090909	2000
