MWBC,STATE,COUNTY,LAKE,AREA,YEAR,DATE,AGE0CPE,AGE1CPE,AGENCY,CODE,CRNTCODE,MILESURV,SHORMILE,PERCSURV,AGE0WAE,AGE0MINL,AGE0MAXL,AGE0AVEL,AGE1WAE,AGE1MINL,AGE1MAXL,AGE1AVEL,TOTALWAE,MUE,NOP,LMB,SMB,COMMENT,TEMP,CLARITY,RELIABLE,HOURS,OLDMILES,FORMMILE,MILESRCE,SHCKABLE,ALLSURV,MONTH,DAY,WDNRTYPE,ALLSHSRV
2339900,WI,VILAS,ESCANABA L,293,1958,8/25/1958,10.1532567,NA,WDNR,NR,NR,5.22,5.22,100,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,64,NA,,NA,5.22,5.22,,NA,Y,8,25,,
2339900,WI,VILAS,ESCANABA L,293,1958,8/28/1958,11.302682,NA,WDNR,NR,NR,5.22,5.22,100,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,67,NA,,NA,5.22,5.22,,NA,Y,8,28,,
2339900,WI,VILAS,ESCANABA L,293,1958,8/30/1958,2.2988506,NA,WDNR,NR,NR,5.22,5.22,100,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,67,NA,,NA,5.22,5.22,,NA,Y,8,30,,
2339900,WI,VILAS,ESCANABA L,293,1958,9/1/1958,14.559387,NA,WDNR,NR,NR,5.22,5.22,100,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,64,NA,,NA,5.22,5.22,,NA,Y,9,1,,
2339900,WI,VILAS,ESCANABA L,293,1958,9/5/1958,8.8122605,NA,WDNR,NR,NR,5.22,5.22,100,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,63,NA,,NA,5.22,5.22,,NA,Y,9,5,,
2339900,WI,VILAS,ESCANABA L,293,1958,9/8/1958,19.5402299,NA,WDNR,NR,NR,5.22,5.22,100,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,66,NA,,NA,5.22,5.22,,NA,Y,9,8,,
2339900,WI,VILAS,ESCANABA L,293,1958,9/15/1958,17.0498084,NA,WDNR,NR,NR,5.22,5.22,100,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,65,NA,,NA,5.22,5.22,,NA,Y,9,15,,
2339900,WI,VILAS,ESCANABA L,293,1958,9/17/1958,18.0076628,NA,WDNR,NR,NR,5.22,5.22,100,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,60,NA,,NA,5.22,5.22,,NA,Y,9,17,,
2339900,WI,VILAS,ESCANABA L,293,1958,9/18/1958,16.091954,NA,WDNR,NR,NR,5.22,5.22,100,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,60,NA,,NA,5.22,5.22,,NA,Y,9,18,,
2339900,WI,VILAS,ESCANABA L,293,1958,9/19/1958,22.2222222,NA,WDNR,NR,NR,5.22,5.22,100,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,62,NA,,NA,5.22,5.22,,NA,Y,9,19,,
